;;11;;;12;;;;;;;;;;;;;;;;;;;;;;
;;22701 - Transações correntes - mensal - saldo - US$ (milhões);;;22885 - Investimentos diretos no país - IDP - mensal - líquido - US$ (milhões);;;;;;;;;;;;;;;;;;;;;;
n;data;Current Transactions, Monthly  Balance, USD Billions;12-month average;CT, 12-mo avg deficit;Direct Investments in the Country - FDI - Monthly - Net, USD billions;FDI, 12-mo avg;;;;;;;;;;;;;;;;;;;;;
3;dez-24;-9,6;-5,1;5,1;2,8;5,9;;;;;;;;;;;;;;;;;;;;;
4;nov-24;-3,8;-4,8;4,8;7,0;5,5;;;;;;;;;;;;;;;;;;;;;
5;out-24;-6,6;-4,5;4,5;5,7;5,5;;;;;;;;;;;;;;;;;;;;;
6;set-24;-7,3;-3,9;3,9;5,2;5,3;;;;;;;;;;;;;;;;;;;;;
7;ago-24;-7,3;-3,4;3,4;5,4;5,3;;;;;;;;;;;;;;;;;;;;;
8;jul-24;-5,5;-2,9;2,9;7,2;5,4;;;;;;;;;;;;;;;;;;;;;
9;jun-24;-4,5;-2,7;2,7;6,3;5,4;;;;;;;;;;;;;;;;;;;;;
10;mai-24;-2,5;-2,5;2,5;3,0;5,1;;;;;;;;;;;;;;;;;;;;;
11;abr-24;-1,7;-2,2;2,2;3,9;5,3;;;;;;;;;;;;;;;;;;;;;
12;mar-24;-4,1;-2,2;2,2;10,2;5,3;;;;;;;;;;;;;;;;;;;;;
13;fev-24;-3,9;-2,0;2,0;5,3;5,4;;;;;;;;;;;;;;;;;;;;;
14;jan-24;-4,4;-2,0;2,0;9,1;5,5;;;;;;;;;;;;;;;;;;;;;
15;dez-23;-5,9;-2,3;2,3;-2,0;5,2;;;;;;;;;;;;;;;;;;;;;
16;nov-23;-0,3;-2,4;2,4;6,7;5,3;;;;;;;;;;;;;;;;;;;;;
17;out-23;0,1;-2,4;2,4;3,1;5,3;;;;;;;;;;;;;;;;;;;;;
18;set-23;-1,2;-2,9;2,9;5,8;5,4;;;;;;;;;;;;;;;;;;;;;
19;ago-23;-0,7;-3,3;3,3;6,7;5,7;;;;;;;;;;;;;;;;;;;;;
20;jul-23;-3,3;-3,8;3,8;6,9;6,0;;;;;;;;;;;;;;;;;;;;;
21;jun-23;-1,5;-4,0;4,0;2,4;6,0;;;;;;;;;;;;;;;;;;;;;
22;mai-23;0,2;-3,8;3,8;5,3;6,1;;;;;;;;;;;;;;;;;;;;;
23;abr-23;-1,3;-4,1;4,1;4,7;5,9;;;;;;;;;;;;;;;;;;;;;
24;mar-23;-1,7;-3,8;3,8;10,7;6,4;;;;;;;;;;;;;;;;;;;;;
25;fev-23;-4,5;-3,8;3,8;7,4;6,1;;;;;;;;;;;;;;;;;;;;;
26;jan-23;-7,8;-3,6;3,6;4,9;6,3;;;;;;;;;;;;;;;;;;;;;
27;dez-22;-7,1;-3,5;3,5;-0,5;6,2;;;;;;;;;;;;;;;;;;;;;
28;nov-22;-0,6;-3,5;3,5;6,5;5,8;;;;;;;;;;;;;;;;;;;;;
29;out-22;-4,8;-4,1;4,1;4,5;5,7;;;;;;;;;;;;;;;;;;;;;
30;set-22;-6,8;-4,2;4,2;9,2;5,6;;;;;;;;;;;;;;;;;;;;;
31;ago-22;-6,6;-3,9;3,9;9,7;5,0;;;;;;;;;;;;;;;;;;;;;
32;jul-22;-5,3;-3,5;3,5;7,2;4,8;;;;;;;;;;;;;;;;;;;;;
33;jun-22;0,9;-3,3;3,3;3,3;4,8;;;;;;;;;;;;;;;;;;;;;
34;mai-22;-3,5;-3,2;3,2;3,4;4,5;;;;;;;;;;;;;;;;;;;;;
35;abr-22;1,7;-2,7;2,7;10,9;4,3;;;;;;;;;;;;;;;;;;;;;
36;mar-22;-1,8;-2,5;2,5;6,9;3,8;;;;;;;;;;;;;;;;;;;;;
37;fev-22;-1,4;-3,0;3,0;9,4;4,0;;;;;;;;;;;;;;;;;;;;;
38;jan-22;-6,9;-3,3;3,3;4,0;3,9;;;;;;;;;;;;;;;;;;;;;
39;dez-21;-7,3;-3,4;3,4;-5,2;3,9;;;;;;;;;;;;;;;;;;;;;
40;nov-21;-7,9;-3,5;3,5;5,0;4,4;;;;;;;;;;;;;;;;;;;;;
41;out-21;-5,8;-3,0;3,0;3,4;4,2;;;;;;;;;;;;;;;;;;;;;
42;set-21;-3,2;-2,6;2,6;2,4;4,2;;;;;;;;;;;;;;;;;;;;;
43;ago-21;-1,7;-2,4;2,4;6,2;4,2;;;;;;;;;;;;;;;;;;;;;
44;jul-21;-3,1;-2,1;2,1;7,8;3,9;;;;;;;;;;;;;;;;;;;;;
45;jun-21;2,4;-1,9;1,9;-0,5;3,6;;;;;;;;;;;;;;;;;;;;;
46;mai-21;2,8;-1,8;1,8;1,3;4,1;;;;;;;;;;;;;;;;;;;;;
47;abr-21;4,0;-2,0;2,0;4,5;4,2;;;;;;;;;;;;;;;;;;;;;
48;mar-21;-8,2;-2,2;2,2;9,4;3,9;;;;;;;;;;;;;;;;;;;;;
49;fev-21;-4,0;-1,8;1,8;8,7;3,8;;;;;;;;;;;;;;;;;;;;;
50;jan-21;-8,2;-1,9;1,9;3,4;3,2;;;;;;;;;;;;;;;;;;;;;
51;dez-20;-8,4;-2,1;2,1;1,1;3,2;;;;;;;;;;;;;;;;;;;;;
52;nov-20;-2,5;-1,8;1,8;2,3;3,3;;;;;;;;;;;;;;;;;;;;;
53;out-20;-1,2;-2,0;2,0;3,6;3,9;;;;;;;;;;;;;;;;;;;;;
54;set-20;0,0;-2,6;2,6;2,8;4,2;;;;;;;;;;;;;;;;;;;;;
55;ago-20;1,2;-2,9;2,9;2,0;4,5;;;;;;;;;;;;;;;;;;;;;
56;jul-20;-0,4;-3,6;3,6;4,8;5,2;;;;;;;;;;;;;;;;;;;;;
57;jun-20;3,0;-4,5;4,5;4,9;5,3;;;;;;;;;;;;;;;;;;;;;
58;mai-20;0,4;-5,0;5,0;2,5;5,0;;;;;;;;;;;;;;;;;;;;;
59;abr-20;2,2;-5,3;5,3;1,0;5,5;;;;;;;;;;;;;;;;;;;;;
60;mar-20;-3,4;-5,7;5,7;7,8;5,8;;;;;;;;;;;;;;;;;;;;;
61;fev-20;-5,0;-5,7;5,7;2,5;5,4;;;;;;;;;;;;;;;;;;;;;
62;jan-20;-10,8;-5,5;5,5;2,8;5,8;;;;;;;;;;;;;;;;;;;;;
63;dez-19;-5,3;-5,4;5,4;2,8;5,8;;;;;;;;;;;;;;;;;;;;;
64;nov-19;-4,2;-5,6;5,6;8,7;6,2;;;;;;;;;;;;;;;;;;;;;
65;out-19;-9,2;-5,5;5,5;8,2;6,2;;;;;;;;;;;;;;;;;;;;;
66;set-19;-3,8;-5,0;5,0;5,5;6,3;;;;;;;;;;;;;;;;;;;;;
67;ago-19;-6,3;-4,9;4,9;11,2;6,4;;;;;;;;;;;;;;;;;;;;;
68;jul-19;-11,5;-4,8;4,8;5,6;6,3;;;;;;;;;;;;;;;;;;;;;
69;jun-19;-2,6;-4,6;4,6;1,0;6,1;;;;;;;;;;;;;;;;;;;;;
70;mai-19;-3,3;-4,5;4,5;8,3;6,6;;;;;;;;;;;;;;;;;;;;;
71;abr-19;-3,0;-4,4;4,4;4,7;6,1;;;;;;;;;;;;;;;;;;;;;
72;mar-19;-3,7;-4,4;4,4;3,6;5,8;;;;;;;;;;;;;;;;;;;;;
73;fev-19;-2,8;-4,4;4,4;6,6;6,1;;;;;;;;;;;;;;;;;;;;;
74;jan-19;-9,4;-4,6;4,6;2,8;6,1;;;;;;;;;;;;;;;;;;;;;
75;dez-18;-7,0;-4,5;4,5;8,3;6,5;;;;;;;;;;;;;;;;;;;;;
76;nov-18;-4,0;-4,2;4,2;9,1;6,0;;;;;;;;;;;;;;;;;;;;;
77;out-18;-3,1;-4,2;4,2;8,4;5,6;;;;;;;;;;;;;;;;;;;;;
78;set-18;-2,4;-4,1;4,1;7,3;5,7;;;;;;;;;;;;;;;;;;;;;
79;ago-18;-4,8;-4,1;4,1;10,0;5,8;;;;;;;;;;;;;;;;;;;;;
80;jul-18;-8,5;-3,8;3,8;3,5;5,4;;;;;;;;;;;;;;;;;;;;;
81;jun-18;-2,5;-3,5;3,5;6,2;5,4;;;;;;;;;;;;;;;;;;;;;
82;mai-18;-1,8;-3,3;3,3;2,0;5,2;;;;;;;;;;;;;;;;;;;;;
83;abr-18;-2,7;-3,0;3,0;2,2;5,2;;;;;;;;;;;;;;;;;;;;;
84;mar-18;-3,3;-2,9;2,9;7,1;5,5;;;;;;;;;;;;;;;;;;;;;
85;fev-18;-6,0;-2,6;2,6;5,8;5,6;;;;;;;;;;;;;;;;;;;;;
86;jan-18;-7,8;-2,2;2,2;8,3;5,4;;;;;;;;;;;;;;;;;;;;;
87;dez-17;-3,6;-2,1;2,1;2,0;5,7;;;;;;;;;;;;;;;;;;;;;
88;nov-17;-3,9;-2,2;2,2;4,7;6,5;;;;;;;;;;;;;;;;;;;;;
89;out-17;-2,6;-2,0;2,0;8,9;6,7;;;;;;;;;;;;;;;;;;;;;
90;set-17;-1,7;-2,1;2,1;9,3;6,7;;;;;;;;;;;;;;;;;;;;;
91;ago-17;-1,3;-2,1;2,1;5,1;6,4;;;;;;;;;;;;;;;;;;;;;
92;jul-17;-4,4;-2,1;2,1;3,6;6,5;;;;;;;;;;;;;;;;;;;;;
93;jun-17;-0,6;-2,1;2,1;3,4;6,2;;;;;;;;;;;;;;;;;;;;;
94;mai-17;1,5;-2,3;2,3;2,6;6,2;;;;;;;;;;;;;;;;;;;;;
95;abr-17;-1,1;-2,4;2,4;5,3;6,5;;;;;;;;;;;;;;;;;;;;;
96;mar-17;-0,1;-2,4;2,4;8,5;6,7;;;;;;;;;;;;;;;;;;;;;
97;fev-17;-0,5;-2,5;2,5;3,2;6,5;;;;;;;;;;;;;;;;;;;;;
98;jan-17;-7,0;-2,6;2,6;12,4;6,7;;;;;;;;;;;;;;;;;;;;;
99;dez-16;-5,0;-2,5;2,5;11,7;6,2;;;;;;;;;;;;;;;;;;;;;
100;nov-16;-0,9;-2,1;2,1;7,0;6,1;;;;;;;;;;;;;;;;;;;;;
101;out-16;-3,7;-2,4;2,4;8,1;6,0;;;;;;;;;;;;;;;;;;;;;
102;set-16;-1,8;-2,5;2,5;5,4;5,9;;;;;;;;;;;;;;;;;;;;;
103;ago-16;-1,5;-2,6;2,6;7,0;6,0;;;;;;;;;;;;;;;;;;;;;
104;jul-16;-4,4;-2,7;2,7;-0,1;5,7;;;;;;;;;;;;;;;;;;;;;
105;jun-16;-3,2;-2,9;2,9;3,7;6,2;;;;;;;;;;;;;;;;;;;;;
106;mai-16;0,8;-3,0;3,0;5,8;6,4;;;;;;;;;;;;;;;;;;;;;
107;abr-16;-1,1;-3,4;3,4;7,3;6,3;;;;;;;;;;;;;;;;;;;;;
108;mar-16;-2,0;-3,8;3,8;6,8;6,1;;;;;;;;;;;;;;;;;;;;;
109;fev-16;-1,8;-4,2;4,2;5,1;5,7;;;;;;;;;;;;;;;;;;;;;
110;jan-16;-6,0;-4,7;4,7;6,6;5,5;;;;;;;;;;;;;;;;;;;;;
111;dez-15;0,1;-5,3;5,3;10,3;5,4;;;;;;;;;;;;;;;;;;;;;
112;nov-15;-3,9;-6,1;6,1;6,6;5,1;;;;;;;;;;;;;;;;;;;;;
113;out-15;-5,0;-6,7;6,7;6,0;5,1;;;;;;;;;;;;;;;;;;;;;
114;set-15;-3,0;-7,1;7,1;6,6;5,2;;;;;;;;;;;;;;;;;;;;;
115;ago-15;-3,0;-7,6;7,6;4,3;5,2;;;;;;;;;;;;;;;;;;;;;
116;jul-15;-6,6;-7,9;7,9;5,7;5,6;;;;;;;;;;;;;;;;;;;;;
117;jun-15;-3,9;-8,3;8,3;5,3;5,9;;;;;;;;;;;;;;;;;;;;;
118;mai-15;-4,2;-8,4;8,4;5,6;6,0;;;;;;;;;;;;;;;;;;;;;
119;abr-15;-6,4;-8,7;8,7;4,0;6,2;;;;;;;;;;;;;;;;;;;;;
120;mar-15;-6,6;-8,9;8,9;2,9;6,4;;;;;;;;;;;;;;;;;;;;;
121;fev-15;-8,2;-9,0;9,0;2,6;6,8;;;;;;;;;;;;;;;;;;;;;
122;jan-15;-12,8;-9,1;9,1;4,9;7,0;;;;;;;;;;;;;;;;;;;;;
123;dez-14;-10,2;-9,2;9,2;7,1;7,3;;;;;;;;;;;;;;;;;;;;;
124;nov-14;-10,5;-8,8;8,8;5,9;6,9;;;;;;;;;;;;;;;;;;;;;
125;out-14;-10,1;-8,4;8,4;7,4;7,2;;;;;;;;;;;;;;;;;;;;;
126;set-14;-8,7;-8,2;8,2;7,1;7,1;;;;;;;;;;;;;;;;;;;;;
127;ago-14;-6,7;-8,2;8,2;8,6;7,2;;;;;;;;;;;;;;;;;;;;;
128;jul-14;-11,1;-8,3;8,3;9,9;7,0;;;;;;;;;;;;;;;;;;;;;
129;jun-14;-5,4;-8,0;8,0;5,7;6,7;;;;;;;;;;;;;;;;;;;;;
130;mai-14;-7,5;-8,3;8,3;7,9;6,8;;;;;;;;;;;;;;;;;;;;;
131;abr-14;-9,0;-8,4;8,4;7,0;6,7;;;;;;;;;;;;;;;;;;;;;
132;mar-14;-8,3;-8,3;8,3;7,1;6,6;;;;;;;;;;;;;;;;;;;;;
133;fev-14;-8,9;-8,4;8,4;5,4;6,5;;;;;;;;;;;;;;;;;;;;;
134;jan-14;-14,1;-8,2;8,2;8,6;6,8;;;;;;;;;;;;;;;;;;;;;
135;dez-13;-5,0;-6,2;6,2;2,1;6,1;;;;;;;;;;;;;;;;;;;;;
136;nov-13;-6,1;-6,9;6,9;9,4;8,2;;;;;;;;;;;;;;;;;;;;;
137;out-13;-7,6;-7,6;7,6;6,9;6,9;;;;;;;;;;;;;;;;;;;;;
